name,college,major,paper
刘凡,中国中医科学院中医临床基础医学研究所,中医学;计算机软件及计算机应用;医学教育与医学边缘学科;,基于知识图谱技术的名老中医慢性胃炎辨证论治方案研究
周娇娇,中国中医科学院广安门医院,中医学;外科学;临床医学;,基于CiteSpace的国内注射疗法治疗直肠脱垂的知识图谱研究
唐志辉,东南大学,计算机软件及计算机应用;金融;,基于事理图谱和知识图谱的金融领域问答系统设计与实现
徐浩,解放军军事科学院,生物学;,辐射相关基因知识图谱的构建与应用
仇婷婷,东北石油大学,计算机软件及计算机应用;电力工业;自动化技术;,基于知识图谱的自适应学习系统研究
彭国雁,北京邮电大学,戏剧电影与电视艺术;美术书法雕塑与摄影;,面向京剧知识图谱的信息可视化研究与设计
柳伟新,中国人民公安大学,公安;图书情报与数字图书馆;,防爆安检知识图谱构建研究
张骄,北京化工大学,石油天然气工业;,知识图谱在页岩气水力压裂项目管理中的应用研究
黄之凡,北京邮电大学,计算机软件及计算机应用;自动化技术;,基于知识图谱表示学习的链接预测算法研究
宋伟,太原科技大学,计算机软件及计算机应用;图书情报与数字图书馆;环境科学与资源利用;,基于环境信息融合的知识图谱构建方法
张游杰,中国电子科技集团第三十三研究所,计算机软件及计算机应用;电信技术;自动化技术;,基于环境信息融合的知识图谱构建方法
韩慧,山西省财政税务专科学校,互联网技术;计算机软件及计算机应用;计算机硬件技术;,基于知识图谱的商品推荐系统
乔学伟,海军工程大学,武器工业与军事技术;图书情报与数字图书馆;,联合作战信息服务军事知识图谱应用分析
李启元,海军工程大学,计算机软件及计算机应用;军事;自动化技术;,联合作战信息服务军事知识图谱应用分析
李旭倩,解放军31008部队,武器工业与军事技术;图书情报与数字图书馆;,联合作战信息服务军事知识图谱应用分析
程志强,解放军31008部队,武器工业与军事技术;图书情报与数字图书馆;,联合作战信息服务军事知识图谱应用分析
刘树衎,海军工程大学,武器工业与军事技术;计算机软件及计算机应用;船舶工业;,联合作战信息服务军事知识图谱应用分析
郑培珺,青海师范大学,中等教育;,基于大数据分析的初中数学知识图谱构建研究
周勉之,华中科技大学,计算机软件及计算机应用;,基于异构资源的知识图谱系统设计与实现
韩雨婷,大连海事大学,自动化技术;计算机软件及计算机应用;,知识图谱中语义路径组合关系的推理算法研究
杨佳琦,内蒙古科技大学,计算机软件及计算机应用;医药卫生方针政策与法律法规研究;内分泌腺及全身性疾病;,基于中文自然语言处理的糖尿病知识图谱构建
赵彤宇,齐鲁工业大学,工业通用技术及设备;医学教育与医学边缘学科;临床医学;,医学知识图谱构建方法研究及在疾病诊断中的应用
史入文,上海社会科学院,计算机软件及计算机应用;图书情报与数字图书馆;工业经济;,融合知识图谱和情感分析的推荐算法研究
章志鹏,云南财经大学,计算机软件及计算机应用;自动化技术;图书情报与数字图书馆;,知识图谱的应用研究现状与发展趋势——基于CiteSpace的可视化分析
曾志勇,中国电信股份有限公司,计算机软件及计算机应用;自动化技术;企业经济;,知识图谱的应用研究现状与发展趋势——基于CiteSpace的可视化分析
李忠,云南财经大学,计算机软件及计算机应用;图书情报与数字图书馆;,知识图谱的应用研究现状与发展趋势——基于CiteSpace的可视化分析
吕特特,北京交通大学,自动化技术;图书情报与数字图书馆;,面向专业领域文献的知识图谱构建与应用
闫斌,南昌大学,计算机软件及计算机应用;新闻与传媒;,基于知识图谱的新闻推荐系统的研究与实现
田玉梅,南昌大学,计算机软件及计算机应用;,基于知识图谱的协同过滤算法的研究与应用
王凯,南昌大学,电力工业;计算机软件及计算机应用;,基于知识图谱的非完备信息博弈自动问答系统研究与实现
骆浩楠,东南大学,计算机软件及计算机应用;自动化技术;科学研究管理;,基于多源文本分析的机器人领域知识图谱构建
陆彦强,兰州财经大学,投资;金融;,基于知识图谱技术的商业银行个人信贷风险识别
